lng,lat,name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,Rating
103.8447,1.33814,Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,40,108,4.1
103.94459,1.34579,Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,45,99,4.1
103.80271,1.2933,Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,47,66,4
103.93696,1.32129,Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,194,64,130,4.1
103.817,1.28366,Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,HDB,57,57,0,4
103.87162,1.31503,Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,HDB,144,84,60,4
103.78823,1.311,Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,HDB,230,72,158,4.3
103.93054,1.32474,Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,HDB,70,70,0,4.1
103.85487,1.34022,Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,HDB,157,80,77,4.2
103.93322,1.32706,Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC,HDB,196,82,114,4.2
103.857,1.33538,Blk 22 Toa Payoh Lorong 7,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC,HDB,120,61,59,4.1
103.83717,1.33594,Blk 226D Ang Mo Kio Ave 1,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC,HDB,111,10,101,4.1
103.83928,1.36671,Blk 226H Ang Mo Kio Street 22,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC,HDB,29,29,0,3.9
103.74364,1.33289,Blk 254 Jurong East Street 24,"Blk 254, Jurong East Street 24, S(600254)",MHC,HDB,147,60,87,4
103.86302,1.31922,Blk 29 Bendemeer Road,"Blk 29, Bendemeer Road, S(330029)",MHC,HDB,193,88,105,4.1
103.83703,1.35201,Blk 320 Shunfu Road,"Blk 320, Shunfu Road, S(570320)",MHC,HDB,82,31,51,3.9
103.84811,1.36378,Blk 341 Ang Mo Kio Ave 1,"Blk 341, Ang Mo Kio Ave 1, S(560341)",MHC,HDB,118,32,86,3.9
103.73103,1.345,Blk 347 Jurong East Ave 1,"Blk 347, Jurong East Ave 1, S(600347)",MHC,HDB,225,56,169,4
103.77079,1.31427,Blk 353 Clementi Ave 2,"Blk 353, Clementi Ave 2, S(120353)",MHC,HDB,77,18,59,4
103.82203,1.27261,Blk 36 Telok Blangah Rise,"Blk 36, Telok Blangah Rise, S(090036)",MHC,HDB,53,24,29,3.8
103.74279,1.32082,Blk 37A Teban Gardens Road,"Blk 37A, Teban Garden Road, S(601037)",MHC,HDB,80,28,52,3.9
103.85592,1.36543,Blk 409 Ang Mo Kio Ave 10,"Blk 409, Ang Mo Kio Ave 10, S(560409)",MHC,HDB,142,40,102,4
103.79316,1.30841,Blk 44 Holland Drive,"Blk 44, Holland Drive, S(270044)",MHC,HDB,106,45,61,4.1
103.76456,1.3136,Blk 448 Clementi Ave 3,"Blk 448, Clementi Ave 3, S(120448)",MHC,HDB,143,51,92,4.1
103.85652,1.36816,Blk 453A Ang Mo Kio Ave 10,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC,HDB,222,38,184,4
103.87956,1.31721,Blk 49 Sims Place,"Blk 49, Sims Place, S(380049)",MHC,HDB,144,66,78,4
103.90449,1.32042,Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC,HDB,110,42,68,4
103.88392,1.30241,Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC,HDB,66,36,30,3.9
103.7701,1.44078,Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,HDB,78,78,0,4
103.75908,1.31189,Blk 502 West  Coast Drive,"Blk 502, West Coast Drive, S(120502)",MK,HDB,40,0,40,4.2
103.75622,1.31357,Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC,HDB,80,80,0,4.2
103.71789,1.34958,Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,HDB,190,60,130,4.1
103.91574,1.30573,Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,HDB,111,24,87,4
103.88581,1.30825,Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC,HDB,222,168,54,4.4
103.93003,1.33342,Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC,HDB,125,42,83,4.1
103.85433,1.37266,Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,HDB,150,50,100,4
103.925,1.33186,Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,HDB,124,40,84,4
103.94108,1.32422,Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,HDB,195,48,147,4.2
103.842735,1.275734,Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,HDB,104,52,52,4.6
103.84037,1.38105,Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,HDB,218,52,166,4.1
103.91438,1.33293,Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,HDB,111,36,75,3.9
103.87001,1.32146,Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC,HDB,211,84,127,4.1
103.80564,1.31625,Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC,HDB,108,40,68,4
103.84656,1.37218,Blk 724 Ang Mo Kio Ave 6,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC,HDB,123,45,78,4.1
103.76426,1.30378,Blk 726 Clementi West Street 2,"Blk 726, Clementi West Street 2, S(120726)",MHC,HDB,195,60,135,4.1
103.852,1.33455,Blk 74 Toa Payoh Lorong 4,"Blk 74, Lorong 4 Toa Payoh, S(310074)",MHC,HDB,90,10,80,3.7
103.85309,1.33593,Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075)",HC,HDB,36,36,0,4.2
103.81807,1.28802,Blk 79 Redhill Lane,"Blk 79, Redhill Lane, S(150079)",MK,HDB,122,0,122,4.1
103.80764,1.27342,Blk 79 Telok Blangah Drive,"Blk 79, Telok Blangah Drive, S(100079)",HC,HDB,40,40,0,4
103.88695,1.32778,Blk 80 Circuit Road,"Blk 80, Circuit Road, S(370080)",MHC,HDB,59,16,43,3.9
103.80775,1.27379,Blk 82 Telok Blangah Drive,"Blk 82, Telok Blangah Drive, S(100082)",MK,HDB,64,0,64,4
103.90634,1.3023,Blk 84 Marine Parade Central,"Blk 84, Marine Parade Central, S(440084)",MHC,HDB,198,55,143,4
103.93891,1.33184,Blk 85 Bedok North Street 4,"Blk 85, Bedok North Street 4, S(460085)",MHC,HDB,214,72,142,4.3
103.81665,1.28601,Blk 85 Redhill Lane,"Blk 85, Redhill Lane, S(150085)",HC,HDB,96,96,0,4.2
103.88547,1.3237,Blk 89 Circuit Road,"Blk 89, Circuit Road, S(370089)",MHC,HDB,133,40,93,4.1
103.85501,1.323,Blk 90 Whampoa Drive,"Blk 90, Whampoa Drive, S(320090)",MHC,HDB,92,80,12,4.2
103.8496,1.3385,Blk 93 Toa Payoh Lorong 4,"Blk 93, Lorong 4 Toa Payoh, S(310093)",MHC,HDB,60,28,32,3.9
103.89735,1.3102,Blks 13/14 Haig Road,"Blk 13/14, Haig Road, S(430013/430014)",MHC,HDB,151,72,79,3
103.83889,1.37537,Blks 160/162 Ang Mo Kio Ave 4,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",MHC,HDB,124,40,84,4
103.79799,1.29964,Blks 1A/ 2A/ 3A Commonwealth Drive,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",HC,HDB,40,40,0,4
103.98846,1.38907,Blks 2 & 3 Changi Village Road,"Blk 2/3, Changi Village Road, S(500002/500003)",MHC,HDB,129,87,42,4.2
103.77697,1.44339,Blks 20/21 Marsiling Lane,"Blk 20/21, Marsiling Lane, S(730020/730021)",MHC,HDB,164,52,112,4
103.71283,1.34517,Blks 221 A/B Boon Lay Place,"Blk 221A/B, Boon Lay Place, S(641221/642221)",MHC,HDB,166,72,94,4.2
103.82948,1.28795,Blks 22A/B Havelock Road,"Blk 22A/B, Havelock Road, S(161022/162022)",HC,HDB,30,30,0,4
103.88497,1.32603,Blks 79/79A Circuit Road,"Blk 79/79A, Circuit Road, S(370079/371079)",HC,HDB,106,106,0,3.9
103.85452,1.32332,Blks 91/92 Whampoa Drive,"Blk 91/92, Whampoa Drive, S(320091/320092)",MHC,HDB,164,52,112,4.2
103.77651,1.30818,Chinatown Market,"Blk 335, Smith Street, S(050335)",MHC,HDB,703,226,477,4.1
103.82883,1.43291,Chong Pang Market & Food Centre,"Blk 104/105, Yishun Ring Road, S(760104/760105)",MHC,HDB,179,56,123,4.1
103.84602,1.28507,Hong Lim Market & Food Centre,"Blk 531A, Upper Cross Street, S(051531)",MHC,HDB,143,103,40,4.2
103.88606,1.35908,Kovan Market & Food Centre,"Blk 209, Hougang Street 21, S(530209)",MHC,HDB,186,66,120,4.1
103.85023,1.31613,Pek Kio Market & Food Centre,"Blk 41A, Cambridge Road, S(211041)",MHC,HDB,124,50,74,4.1
103.842496,1.2849,People's Park Food Centre,"Blk 32, New Market Road, S(050032)",HC,HDB,87,87,0,4.1
103.85095,1.30734,Tekka Market,"Blk 665, Buffalo Road, S(210665)",MHC,HDB,403,119,284,4.2
